Feature Identifier,Feature Name
http://opendatacommunities.org/id/geography/administration/lsoa/E01006737,Liverpool 005F
http://opendatacommunities.org/id/geography/administration/lsoa/E01006738,Liverpool 058A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006739,Liverpool 058B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006740,Liverpool 057A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006741,Liverpool 058C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006742,Liverpool 057B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006743,Liverpool 058D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006744,Liverpool 057C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006745,Liverpool 057D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006746,Liverpool 030E
http://opendatacommunities.org/id/geography/administration/lsoa/E01006747,Liverpool 031B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006748,Liverpool 031C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006751,Liverpool 031F
http://opendatacommunities.org/id/geography/administration/lsoa/E01006752,Liverpool 035F
http://opendatacommunities.org/id/geography/administration/lsoa/E01006753,Liverpool 059A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006754,Liverpool 059B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006755,Liverpool 059C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006756,Liverpool 059D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006757,Liverpool 059E
http://opendatacommunities.org/id/geography/administration/lsoa/E01006758,Liverpool 059F
http://opendatacommunities.org/id/geography/administration/lsoa/E01006759,Liverpool 028D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006760,Liverpool 028E
http://opendatacommunities.org/id/geography/administration/lsoa/E01006761,Liverpool 020B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006762,Liverpool 015E
http://opendatacommunities.org/id/geography/administration/lsoa/E01006763,Liverpool 020C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006764,Liverpool 020D
